Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\ESP32MyDevBoard\Project Outputs for ESP32MyDevBoard\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       13/04/23
Time:       09:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U2","CP2102N-A02-GQFN28R","TopLayer","FP-CP2102N-A02-GQFN28R-MFG","23.7740mm","10.8200mm","180","IC USB TO UART BRIDGE QFN28"
"U1","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","39.8780mm","9.9060mm","270","LDO Voltage Regulators 1A, 3.3V"
"RST","TL3305AF260QG","TopLayer","FP-TL3305AF260QG-MFG","14.8590mm","12.7000mm","0","SWITCH TACTILE SPST-NO 50MA 12V"
"BOOT/USR","TL3305AF260QG","TopLayer","FP-TL3305AF260QG-MFG","14.8590mm","7.6200mm","0","SWITCH TACTILE SPST-NO 50MA 12V"
"Q3","SS8050-G","TopLayer","FP-SS8050-G-MFG","32.1370mm","8.1280mm","0","NPN TRANSISTOR 1.5A 40V SOT-23 R"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-MFG","32.1310mm","11.4300mm","0","NPN TRANSISTOR 1.5A 40V SOT-23 R"
"MD1","ESP32-WROOM-32E(M113EH3200PH3Q0)","TopLayer","FP-ESP32-WROOM-32E_M113EH-MFG","58.4830mm","10.1600mm","270","RX TXRX MOD WIFI TRACE ANT SMD"
"J2","473460001","TopLayer","FP-473460001-MFG","2.7580mm","10.1600mm","270","CONN RCPT USB2.0 MICRO B SMD R/A"
"J1","TSW-117-23-T-S","TopLayer","FP-TSW-117-23-T-S-MFG","21.8440mm","19.0500mm","0","CONN HEADER VERT 17POS 2.54MM"
"J3","TSW-117-23-T-S","TopLayer","FP-TSW-117-23-T-S-MFG","21.8440mm","1.2700mm","0","CONN HEADER VERT 17POS 2.54MM"
"D4","LESD5D5.0CT1G","TopLayer","TVS_LESD5D5.0CT1G","7.3660mm","11.6840mm","270","Transient Voltage Suppressors for ESD Protection"
"D3","LESD5D5.0CT1G","TopLayer","TVS_LESD5D5.0CT1G","6.0960mm","14.0970mm","270","Transient Voltage Suppressors for ESD Protection"
